"""-1.000000e+00,-9.999867e-05"""
"""-0.8775,-9.999872e-05"""
"""-0.755,-9.999877e-05"""
"""-0.6325,-9.99987e-05"""
"""-0.51,-9.999878e-05"""
"""-0.388,-9.425659e-06"""
"""-0.2655,-5.257876e-07"""
"""-0.143,3.252116e-07"""
"""-0.0205,3.514155e-07"""
"""0.102,3.54523e-07"""
"""0.2245,3.727e-07"""
"""0.347,4.272164e-07"""
"""0.4695,4.340962e-07"""
"""0.592,4.44422e-07"""
"""0.7145,4.62533e-07"""
"""0.8365,4.989764e-07"""
"""0.959,5.574772e-07"""
"""1.0815,6.271525e-07"""
"""1.204,7.060474e-07"""
"""1.3265,7.926016e-07"""
"""1.449,8.909406e-07"""
"""1.5715,9.959274e-07"""
"""1.694,1.046401e-06"""
"""1.8165,1.756329e-06"""
"""1.939,1.922532e-06"""
"""2.061,2.090147e-06"""
"""2.1835,2.260066e-06"""
"""2.306,2.431645e-06"""
"""2.4285,2.604917e-06"""
"""2.551,2.778751e-06"""
"""2.6735,2.953738e-06"""
"""2.796,3.130841e-06"""
"""2.9185,3.307232e-06"""
"""3.041,3.487499e-06"""
"""3.1635,3.666691e-06"""
"""3.2855,3.845033e-06"""
"""3.408,4.026359e-06"""
"""3.5305,4.208087e-06"""
"""3.653,4.391064e-06"""
"""3.7755,4.574478e-06"""
"""3.898,4.758926e-06"""
"""4.0205,4.943896e-06"""
"""4.143,5.129752e-06"""
"""4.2655,5.316676e-06"""
"""4.388,5.504263e-06"""
"""4.51,5.692463e-06"""
"""4.6325,5.883636e-06"""
"""4.755,6.075928e-06"""
"""4.8775,6.271244e-06"""
"""5.0,6.46849e-06"""
